a,b,endpoint,kind,delta,lo,hi,clears_zero,p_two_sided,p_holm,survives_holm,p_a_better,lower_is_better,min_detectable,degenerate,n_images,n_subjects,n_boot,question
medsam_ft,sam_ft,zero_dice_rate,confirmatory,-0.02702702702702703,-0.08333333333333333,0.0,False,0.2432,1.0,False,0.8784,True,0.041666666666666664,False,74,18,10000,"THE PRIMARY. Objective, architecture, capacity and recipe held fixed; only the pretraining corpus moves. The cleanest medical-corpus contrast in the project."
medsam_ft,sam_ft,mean_recall,confirmatory,0.049213209377062195,0.0006490581348156601,0.10337174277617708,True,0.0466,0.3728,False,0.9767,False,0.05136134232068071,False,74,18,10000,"THE PRIMARY. Objective, architecture, capacity and recipe held fixed; only the pretraining corpus moves. The cleanest medical-corpus contrast in the project."
medsam_ft,sam_ft,median_dice,confirmatory,0.02281531337497611,-0.009480893692660971,0.05907365241029694,False,0.1386,0.8316,False,0.9307,False,0.03427727305147896,False,74,18,10000,"THE PRIMARY. Objective, architecture, capacity and recipe held fixed; only the pretraining corpus moves. The cleanest medical-corpus contrast in the project."
sam_ft,dinov2_ft,zero_dice_rate,confirmatory,0.02702702702702703,0.0,0.08333333333333333,False,0.2432,1.0,False,0.0,True,0.041666666666666664,False,74,18,10000,Does dense mask supervision beat patch-level SSL? Tests 7h.9 item 2 -- that the N/N2/N3 ranking was an OBJECTIVE effect wearing a corpus label.
sam_ft,dinov2_ft,mean_recall,confirmatory,-0.05284980272203921,-0.1140060100137221,-0.007657868116748208,True,0.0226,0.2034,False,0.0113,False,0.053174070948486946,False,74,18,10000,Does dense mask supervision beat patch-level SSL? Tests 7h.9 item 2 -- that the N/N2/N3 ranking was an OBJECTIVE effect wearing a corpus label.
sam_ft,dinov2_ft,median_dice,confirmatory,0.005530823940834595,-0.02125801126432314,0.05715701164659848,False,0.4892,1.0,False,0.7554,False,0.03920751145546081,False,74,18,10000,Does dense mask supervision beat patch-level SSL? Tests 7h.9 item 2 -- that the N/N2/N3 ranking was an OBJECTIVE effect wearing a corpus label.
medsam_ft,dinov2_ft,zero_dice_rate,confirmatory,0.0,0.0,0.0,False,1.0,1.0,False,,True,,True,74,18,10000,The headline the write-up will be asked for: does the medical mask encoder beat the study's best foundation arm?
medsam_ft,dinov2_ft,mean_recall,confirmatory,-0.0036365933449770127,-0.03572058739607832,0.022544408875671967,False,0.7854,1.0,False,0.3927,False,0.029132498135875144,False,74,18,10000,The headline the write-up will be asked for: does the medical mask encoder beat the study's best foundation arm?
medsam_ft,dinov2_ft,median_dice,confirmatory,0.028346137315810704,-0.0022762845363254094,0.07991822419961236,False,0.057,0.399,False,0.9715,False,0.041097254367968884,False,74,18,10000,The headline the write-up will be asked for: does the medical mask encoder beat the study's best foundation arm?
medsam_ft,dermlip_ft,zero_dice_rate,exploratory,0.0,0.0,0.0,False,1.0,,,,True,,True,74,18,10000,"Medical masks against medical captions, both ViT-B/16 at grid 40. POST-HOC in the sense that it is not what the stage was designed to answer, but it is the contrast that separates corpus from objective most directly."
medsam_ft,dermlip_ft,mean_recall,exploratory,0.06508483625902173,-0.0013311587513630781,0.12200520304278852,False,0.0552,,,0.9724,False,0.0616681808970758,False,74,18,10000,"Medical masks against medical captions, both ViT-B/16 at grid 40. POST-HOC in the sense that it is not what the stage was designed to answer, but it is the contrast that separates corpus from objective most directly."
medsam_ft,dermlip_ft,median_dice,exploratory,0.1111635871673411,0.04867323469277039,0.17291178437656585,True,0.0002,,,0.9999,False,0.06211927484189773,False,74,18,10000,"Medical masks against medical captions, both ViT-B/16 at grid 40. POST-HOC in the sense that it is not what the stage was designed to answer, but it is the contrast that separates corpus from objective most directly."
